comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""They pay by check...and it actually bounced. I was charged a fee by my bank.""",Contract: No,$0.19,False,Medium reporting,Longer than 3 months ,svg-4,Platform: other,Alternet,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1200,2018
,Contract: ,$0.25,False,,Paid in 6 weeks ,svg-3,Platform: digital,Alternet,,Rights: Other / I don't know,,1000-word,2017
,Contract: ,$0.17,False,Assignment (editor came to you),,ng-hide,Platform: digital,Alternet,,Rights: ,news story,~1500,2014
,Contract: No,$0.17,False,Medium reporting,,ng-hide,Platform: digital,Alternet,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,news story,~1500,2014
"""""seemingly regardless of rate""""",Contract: ,$250,True,,,ng-hide,,Alternet,,Rights: ,,,2013
"""“Pitch first, don’t submit spec. They pay pretty quickly, usually.” """,Contract: ,$200,True,,,ng-hide,Platform: digital,Alternet,,Rights: ,, news story,2012
,Contract: ,$250,True,,,ng-hide,Platform: digital,Alternet,,Rights: ,, news story,2012
"""“Pitch first, don’t submit spec. They pay pretty quickly, usually.”""",Contract: ,$250,True,,,ng-hide,Platform: digital,Alternet,,Rights: ,," opinion, editorial, column or essay",2012
,Contract: ,$250,True,,,ng-hide,Platform: digital,Alternet,,Rights: ,, news story,2012
,Contract: ,$250,True,,,ng-hide,Platform: digital,Alternet,,Rights: ,, news story,2012
,Contract: ,$0.16,False,,,ng-hide,,Alternet,,Rights: ,feature,1600,2012
