comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.04,False,Little to no reporting,Paid in 6 weeks ,svg-1,Platform: digital,Autostraddle,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,fob,900,2018
,Contract: Yes,$0.03,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Autostraddle,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,fob,1200,2018
,Contract: Yes,$0.05,False,,Paid in 6 weeks ,svg-1,Platform: digital,Autostraddle,,Rights: First Serial Rights,"opinion, editorial, column or essay",950,2017
,Contract: Yes,$0.05,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Autostraddle,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",1000,2017
,Contract: ,$0.05,False,,Paid in 15 days ,svg-1,Platform: digital,Autostraddle,,Rights: First Serial Rights,,1000-word,2017
"""very reliable""",Contract: Yes,$0.03,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Autostraddle,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",3000,2017
,Contract: Yes,$0.04,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Autostraddle,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",900,2017
"""I was a staff writer for Autostraddle for years and was rarely paid. I think they might be improving this policy, but I'm not sure at what rate, and by the time I finished their finances were well past the point when they should have been paying writers. I want to warn other prospective writers, but want to remain anonymous so as not to ruin professional relationships.""",Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Autostraddle,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1500,2016
,Contract: ,$0.04,False,,Paid in 6 weeks ,svg-1,Platform: digital,Autostraddle,,Rights: Other / I don't know,,900-word,2016
"""This editorial team is the best I've ever worked with. The pay was prompt and the experience led me to seek further work with them. """,Contract: No,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Autostraddle,Solicited pitch (editor asked you to pitch),Rights: All rights,"opinion, editorial, column or essay",~1500,2014
