comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.75,False,,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: other,Ebony,,Rights: All rights,,2000-word,2018
,Contract: Yes,$0.20,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Ebony,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",750,2017
,"Contract: Verbal or ""handshake"" agreement",$0.10,False,Medium reporting,Longer than 3 months ,svg-5,Platform: digital,Ebony,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,profile or interview,1000,2017
,Contract: Yes,$1.33,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: print,Ebony,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,750,2017
"""This was a copyediting contract.""",Contract: Yes,$0.83,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: print,Ebony,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,other,1200,2017
,Contract: ,$0.08,False,,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: print,Ebony,,Rights: First Serial Rights,,12000-word,2017
"""Three people at the company are working to get me paid. I invoiced in May 2016. Their accounts payable department refuses phone calls. 
DO NOT WORK FOR THIS COMPANY IF YOU ACTUALLY NEED THE MONEY.""",Contract: No,$0.87,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: print,Ebony,Assignment (editor came to you),Rights: Other / I don't know,"opinion, editorial, column or essay",1500,2016
"""I was contacted by an editor at Ebony and asked how quickly I could turn around a piece. I was offered a rate, accepted, submitted it ahead of deadline and waited. The editor who contacted me vanished. No response after a year. No payment either. Legacy magazine or not, never again will I submit there without a binding contract.""",Contract: No,$0.00,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-false,Platform: digital,Ebony,Assignment (editor came to you),Rights: Other / I don't know,"opinion, editorial, column or essay",500,2016
"""They pay very slowly or not at all, but they paid me well as an emerging writer.""","Contract: Verbal or ""handshake"" agreement",$0.27,False,Little to no reporting,,ng-hide,Platform: digital,Ebony,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2014
,Contract: ,$0.10,False,,,ng-hide,Platform: digital,Ebony,,Rights: ,news story,750,2013
