comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.36,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Racked,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1047,2018
,Contract: No,$0.35,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1700,2018
"""It is seriously beyond easy to get paid, even if you live outside the United States.""",Contract: Yes,$0.42,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2017
,Contract: Yes,$0.47,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Racked,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,1500,2017
,Contract: Yes,$0.38,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2017
,Contract: Yes,$0.69,False,Little to no reporting,Paid in 6 weeks ,svg-2,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,291,2017
,Contract: Yes,$0.64,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,939,2017
,Contract: No,$0.23,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,2200,2017
,Contract: Yes,$0.50,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1300,2017
,Contract: Yes,$0.20,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,2500,2017
,Contract: Yes,$0.33,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1200,2017
,Contract: Yes,$0.36,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,fob,278,2017
,Contract: Yes,$0.25,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1500,2017
"""So far I've written two features for Racked, with another piece in the works, and have been having a great experience with the editors there. Their feedback is well-considered and their edits make sense. Additionally, Racked's parent company has its contracts and payment processes in place, so the business end of working with them is very smooth.""",Contract: Yes,$0.54,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Racked,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,1200,2017
,Contract: Yes,$0.54,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1200,2017
,Contract: Yes,$0.38,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Racked,Referral (you had a connection who connected you to the editor),Rights: All rights,news story,1200,2016
,Contract: ,$0.42,False,,Paid in 1 month ,svg-2,Platform: digital,Racked,,Rights: Other / I don't know,,1200-word,2016
,Contract: Yes,,,Medium reporting,,ng-hide,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: All rights,news story,~1500,2016
,Contract: Yes,$0.17,False,Little to no reporting,,ng-hide,Platform: digital,Racked,Cold pitch (no pre-existing relationship),Rights: ,"opinion, editorial, column or essay",~1500,2015
,Contract: No,$0.17,False,Little to no reporting,,ng-hide,Platform: digital,Racked,Ongoing/pre-existing relationship with editor or publication,Rights: ,"opinion, editorial, column or essay",~1500,2015
,Contract: ,$50,True,,,ng-hide,,Racked,,Rights: ,, fob,2013
