comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: ,$0.09,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2019
,Contract: No,$0.10,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1300,2018
"""They were very slow to response, and published it very late--would not pay until after publication which was very frustrating. Ultimately, I was paid, and they apologized for the poor communication and were kind in their editing and feedback. Would consider working with them again, but we'd have to set certain standards first so some of these issues did not occur again.""",Contract: ,$0.13,False,Medium reporting,Longer than 3 months ,svg-4,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2017
,"Contract: Verbal or ""handshake"" agreement",$0.10,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Establishment,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2017
"""First-run rights with one year exclusivity. Editor was very difficult to work with. She obviously knew little about the topic but had a negative, preconceived idea and kept trying to force her personal opinion into the piece, introducing factual errors. When I asked the incorrect information be removed, I got a condescending lecture on how ""editors have to make changes."" I understand that--most professionals do. But if changes introduce incorrect information with the goal of denigrating an entire people group, a professional writer asks they be removed.""",Contract: Yes,$0.16,False,Medium reporting,Paid in 6 weeks ,svg-3,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,789,2017
,Contract: Yes,$0.08,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1500,2017
,Contract: No,$0.10,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2017
"""Editors are incredibly easy to work with. Payment was a breeze.""",Contract: Yes,$0.06,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",2000,2016
"""Editors were flexible & really delightful to work with.""",Contract: Yes,$0.06,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",2000,2016
,Contract: ,$0.05,False,,Paid in 3 months ,svg-4,Platform: digital,The Establishment,,Rights: First Serial Rights,,1200-word,2016
,Contract: Yes,$0.08,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,other,1884,2016
,Contract: ,$0.03,False,,Paid in 3 months ,svg-4,Platform: digital,The Establishment,,Rights: First Serial Rights,"opinion, editorial, column or essay",2000,2016
,Contract: No,$0.07,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Establishment,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1750,2016
,Contract: ,$0.16,False,,Paid in 15 days ,svg-1,Platform: digital,The Establishment,,Rights: First Serial Rights,,800-word,2016
,Contract: Yes,$0.09,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1350,2016
,"Contract: Verbal or ""handshake"" agreement",$0.11,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Establishment,Cold pitch (no pre-existing relationship),Rights: All rights,feature,1100,2016
