comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""getting on their freelance payroll is proving to be a hassle, but hopefully payment will be quicker once I'm on.""","Contract: Verbal or ""handshake"" agreement",$0.50,False,Medium reporting,Paid in 3 months ,svg-4,Platform: digital,The Guardian (us),Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1890,2018
,Contract: No,$0.50,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,The Guardian (us),Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,600,2018
"""This was my second pitch and first assignment with this editor. Light edits & no comments giving feedback. All told, the editing process was painless enough, but getting paid required multiple chasing emails after the payment was overdue. In the end, they omitted my wire transfer fee, but I chalk that up to a lesson learned. In the future, I'll make sure to tack that on from the initial conversation.""",Contract: Yes,$0.40,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,The Guardian (us),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2017
,Contract: No,$0.23,False,Medium reporting,N/A ,svg-1,Platform: digital,The Guardian (us),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2100,2017
,"Contract: Verbal or ""handshake"" agreement",$0.42,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-2,Platform: digital,The Guardian (us),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1200,2017
"""The editorial process was fairly straightforward. I'm would gladly write for them again.""",Contract: Yes,$0.25,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,The Guardian (us),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1100,2017
,Contract: Yes,$0.40,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The Guardian (us),Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1000,2016
"""One-day-turnaround reaction piece""","Contract: Verbal or ""handshake"" agreement",$0.31,False,Little to no reporting,Paid in 6 weeks ,svg-2,Platform: digital,The Guardian (us),Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",800,2016
,Contract: ,$0.19,False,,Paid in 6 weeks ,svg-2,Platform: digital,The Guardian (us),,Rights: All rights,,800-word,2016
,Contract: Yes,$0.33,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,The Guardian (us),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2016
,Contract: Yes,$0.19,False,Medium reporting,,ng-hide,Platform: digital,The Guardian (us),Solicited pitch (editor asked you to pitch),Rights: ,"opinion, editorial, column or essay",~750,2014
