comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,"Contract: Verbal or ""handshake"" agreement",$0.13,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,The Nation,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,1500,2018
,Contract: ,$0.40,False,,Paid in 6 weeks ,svg-2,Platform: print,The Nation,,Rights: First Serial Rights,,2500-word,2018
,"Contract: Verbal or ""handshake"" agreement",$0.25,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,The Nation,Assignment (editor came to you),Rights: All rights,"opinion, editorial, column or essay",3000,2018
"""Editor was really, really easy to work with, and gave really helpful and thoughtful feedback. Zero problem at all receiving payment.""",Contract: Yes,$0.22,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Nation,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,profile or interview,1600,2018
,Contract: Yes,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Nation,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1200,2018
,Contract: Yes,$0.20,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Nation,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2017
,Contract: Yes,$0.13,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,The Nation,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,1500,2017
"""Required multiple emails just to get the payment process going.""","Contract: Verbal or ""handshake"" agreement",$0.15,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,The Nation,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,2400,2016
,Contract: Yes,$0.27,False,Little to no reporting,,ng-hide,Platform: digital,The Nation,Assignment (editor came to you),Rights: All rights,"opinion, editorial, column or essay",~750,2014
,Contract: ,$0.10,False,,,ng-hide,Platform: print,The Nation,,Rights: ,feature,~5000,2012
"""“I hear that’s the flat rate. Nation writers all call it ‘the poverty wage.’”""",Contract: ,$0.13,False,,,ng-hide,Platform: print,The Nation,,Rights: ,feature,4000,2012
,Contract: ,$0.10,False,,,ng-hide,,The Nation,,Rights: ,,2500-word,2012
,Contract: ,$175,True,,,ng-hide,Platform: digital,The Nation,,Rights: ,,,2012
,Contract: ,$500,True,,,ng-hide,,The Nation,,Rights: ,, feature,2012
,Contract: ,$75,True,,,ng-hide,,The Nation,,Rights: ,, blog post,2012
,Contract: ,$0.13,False,,,ng-hide,,The Nation,,Rights: ,,4000-word,2012
,Contract: ,$500,True,,,ng-hide,,The Nation,,Rights: ,, feature,2012
