comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$1.00,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,The New York Times,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"opinion, editorial, column or essay",1200,2018
,"Contract: Verbal or ""handshake"" agreement",$1.25,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,The New York Times,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,1200,2018
,Contract: No,$0.13,False,Little to no reporting,Paid in 6 weeks ,svg-1,Platform: print,The New York Times,Solicited pitch (editor asked you to pitch),Rights: All rights,"opinion, editorial, column or essay",1200,2018
"""Took about 4 months of followups as another department also had to approve the topic. Editor was really great to work with.""",Contract: Yes,$1.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The New York Times,Cold pitch (no pre-existing relationship),Rights: All rights,other,1200,2018
,Contract: ,$0.50,False,,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,The New York Times,,Rights: First Serial Rights,,1500-word,2018
,Contract: ,$1.00,False,,Paid in 2 months ,svg-1,Platform: digital,The New York Times,,Rights: Other / I don't know,,1200-word,2017
,Contract: ,$0.50,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The New York Times,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,other,600,2017
,Contract: Yes,$1.00,False,Heavy/Investigative reporting,Paid in 2 months ,svg-1,Platform: digital,The New York Times,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,feature,1300,2017
"""I had an amazing experience working with The NYT.""",Contract: Yes,$1.50,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The New York Times,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,profile or interview,200,2017
,Contract: Yes,$0.25,False,Little to no reporting,Paid in 2 months ,svg-2,Platform: digital,The New York Times,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"opinion, editorial, column or essay",600,2017
"""Typical for NYTimes investigative pieces, it took me about 2 months to get this pitched, reported, written, and published. Gotta stay on them about payment though...""","Contract: Verbal or ""handshake"" agreement",$1.40,False,Heavy/Investigative reporting,Paid in 2 months ,svg-3,Platform: digital,The New York Times,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,other,730,2016
,Contract: Yes,$0.10,False,Little to no reporting,,ng-hide,Platform: digital,The New York Times,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2016
"""I spent a week or so researching and writing this piece, and earned less than minimum wage (although I understand that $0-$300 is pretty standard for online journalism). """,Contract: Yes,$0.10,False,Medium reporting,,ng-hide,Platform: digital,The New York Times,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2015
"""Great, incisive light edit and significant cut for length. They pay $1/word for online/print and .50 for online-only (do not ask me how this is fair, but...) All fact-checking falls to the writer, so be prepared.""",Contract: Yes,$1.00,False,Medium reporting,,ng-hide,Platform: digital,The New York Times,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,~1500,2015
"""NYT Styles pays very well by NYT standards. But online-only version only pays .50 vs. $1/word for print/online. Very nice, professional, responsive editors.""",Contract: Yes,$0.40,False,Ongoing/pre-existing relationship with editor or publication,,ng-hide,Platform: digital,The New York Times,,Rights: First Serial Rights,news story,~750,2015
"""Editor came to me to write a ""reported think piece."" I wrote it; they rejected it. Asked me to ""try again,"" at something completely new, but without any guidance about what that something new would be. Urged me to write something more personal. They rejected that, too. No kill fee.""","Contract: Verbal or ""handshake"" agreement",$0.00,False,Medium reporting,,ng-hide,Platform: print,The New York Times,Assignment (editor came to you),Rights: Other / I don't know,"opinion, editorial, column or essay",~1500,2014
,Contract: No,$0.80,False,Medium reporting,,ng-hide,Platform: digital,The New York Times,Cold pitch (no pre-existing relationship),Rights: ,fob,~750,2014
"""editor asked me to write essay. we went back and forth for about two months before they finally ran it on the front of Sunday Review""",Contract: ,$0.80,False,Little to no reporting,,ng-hide,Platform: digital,The New York Times,Assignment (editor came to you),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
"""Modern Love, College Essay Contest""",Contract: Yes,$0.20,False,Little to no reporting,,ng-hide,Platform: digital,The New York Times,Submission/spec (piece was written prior and then submitted for publication),Rights: ,"opinion, editorial, column or essay",~1500,2013
,Contract: Yes,$0.10,False,Little to no reporting,,ng-hide,Platform: digital,The New York Times,Assignment (editor came to you),Rights: ,"opinion, editorial, column or essay",~750,2013
,Contract: ,$1.00,False,,,ng-hide,Platform: digital,The New York Times,,Rights: ,news story,800,2013
,Contract: ,$0.13,False,,,ng-hide,Platform: digital,The New York Times,,Rights: ,"opinion, editorial, column or essay",1200,2013
,Contract: ,$50,True,,,ng-hide,Platform: digital,The New York Times,,Rights: ,, news story,2013
,Contract: ,,,,,ng-hide,Platform: print,The New York Times,,Rights: ,, news story,2013
,Contract: ,$1.00,False,,,ng-hide,Platform: print,The New York Times,,Rights: ,news story,950,2013
,Contract: ,$0.50,False,,,ng-hide,Platform: print,The New York Times,,Rights: ,feature,1200,2013
,Contract: ,$250,True,,,ng-hide,Platform: digital,The New York Times,,Rights: ,," opinion, editorial, column or essay",2013
