comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""Initially offered $100, raised to $200 when I asked""",Contract: Yes,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,The Toast,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~3000,2016
,Contract: Yes,$0.01,False,Little to no reporting,,ng-hide,Platform: digital,The Toast,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",~3000,2015
"""The Toast gave me $25 for a 1100 word piece in 3/14, they had previously given me $50 for a 1500 word post in 2/14- I'm not really sure why the amounts were vastly different.

They were both pieces that required lots of historical research""",Contract: Yes,$0.02,False,Little to no reporting,,ng-hide,Platform: digital,The Toast,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,~1500,2014
"""$50 for 3000 words. Communication with publisher and editors was smooth however, and the site had only recently started gaining traffic-- suspect that's why payment was so low. Although a personal essay, it was interwoven with a lot of legal fact checking.""",Contract: Yes,$0.02,False,Medium reporting,,ng-hide,Platform: digital,The Toast,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~3000,2014
"""The Toast seems to have no pay schedule. Always have to email publisher multiple times to receive pay promised by editors. Still haven't been paid for this piece. """,Contract: Yes,$0.05,False,Little to no reporting,,ng-hide,Platform: digital,The Toast,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~1500,2014
,Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,The Toast,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~750,2014
,Contract: Yes,$0.03,False,Heavy/Investigative reporting,,ng-hide,Platform: print,The Toast,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",~3000,2014
"""Had to give up rights, but apparently they're good about giving back rights if you request them. Took a while to get paid, had to send several follow-up emails.""",Contract: Yes,$0.20,False,Little to no reporting,,ng-hide,Platform: digital,The Toast,Cold pitch (no pre-existing relationship),Rights: All rights,other,~125,2014
,Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,The Toast,Submission/spec (piece was written prior and then submitted for publication),Rights: All rights,fiction,~1500,2013
"""I believe they are lowering their rates though, maybe to $50.
I haven't received payment yet but, then again, it's only been a couple of weeks""",Contract: No,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,The Toast,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2013
