comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
,Contract: Yes,$0.48,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1050,2018
"""Undark is a great publication. Editor is good and straightforward, I found. They pay $1/word of commissioned length.""",Contract: No,$1.00,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,500,2018
,Contract: No,$0.42,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2018
,Contract: Yes,$1.00,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2018
,Contract: ,$1.00,False,,Paid in 1 month ,svg-1,Platform: digital,Undark,,Rights: All rights,,1500-word,2018
,Contract: Yes,$0.53,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,Undark,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",950,2017
,Contract: ,$1.00,False,,Paid in 1 month ,svg-2,Platform: digital,Undark,,Rights: First Serial Rights,,1500-word,2017
"""Great editing experience, about five rewrites, but the editors were very, very thorough. Was paid before publication. Not sure that's ever happened to me before!""",Contract: Yes,$0.40,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,3000,2017
,Contract: Yes,$0.50,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Undark,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,blog post,500,2016
,Contract: Yes,,,Little to no reporting,,ng-hide,Platform: digital,Undark,Assignment (editor came to you),Rights: ,"opinion, editorial, column or essay",~375,2016
